State,Abbreviation,FIPS,Year,HPI_change,HPI,HPI with 1990 base,HPI with 2000 base
Alabama,AL,01,2020,4.15,404.67,202.35,147.52
Alaska,AK,02,2020,2.67,492.53,282.78,187.63
Arizona,AZ,04,2020,7.20,708.16,311.96,208.79
Arkansas,AR,05,2020,3.05,422.50,209.36,152.82
California,CA,06,2020,2.65,1268.81,270.60,228.52
Colorado,CO,08,2020,3.26,940.63,405.33,203.73
Connecticut,CT,09,2020,3.50,588.22,152.27,142.28
Delaware,DE,10,2020,3.63,550.55,198.56,170.56
District of Columbia,DC,11,2020,1.73,1497.95,436.76,335.00
Florida,FL,12,2020,5.46,618.08,298.10,222.28
Georgia,GA,13,2020,4.05,461.55,215.07,152.27
Hawaii,HI,15,2020,0.34,1002.46,253.62,257.17
Idaho,ID,16,2020,8.84,681.56,342.32,224.18
Illinois,IL,17,2020,1.14,464.86,184.08,130.67
Indiana,IN,18,2020,4.22,460.22,208.06,144.67
Iowa,IA,19,2020,2.00,448.56,238.54,153.43
Kansas,KS,20,2020,4.18,437.49,234.74,158.01
Kentucky,KY,21,2020,3.83,498.99,230.76,155.19
Louisiana,LA,22,2020,2.31,486.75,256.36,168.48
Maine,ME,23,2020,5.30,675.48,217.49,184.31
Maryland,MD,24,2020,2.88,693.37,224.26,188.92
Massachusetts,MA,25,2020,3.56,1013.95,249.66,183.17
Michigan,MI,26,2020,3.46,507.25,214.66,128.50
Minnesota,MN,27,2020,2.95,626.97,263.12,162.86
Mississippi,MS,28,2020,2.59,350.08,201.96,143.30
Missouri,MO,29,2020,3.89,469.09,217.26,154.62
Montana,MT,30,2020,4.79,769.19,368.22,213.75
Nebraska,NE,31,2020,3.24,505.83,256.66,164.22
Nevada,NV,32,2020,3.79,723.11,268.44,203.52
New Hampshire,NH,33,2020,5.56,729.19,224.38,182.22
New Jersey,NJ,34,2020,3.59,767.40,212.93,175.82
New Mexico,NM,35,2020,5.10,551.56,238.27,164.94
New York,NY,36,2020,3.44,750.40,229.05,187.74
North Carolina,NC,37,2020,4.26,523.06,222.78,158.36
North Dakota,ND,38,2020,1.26,538.86,305.38,215.79
Ohio,OH,39,2020,4.56,427.53,196.00,133.44
Oklahoma,OK,40,2020,3.88,449.83,239.62,167.84
Oregon,OR,41,2020,3.87,969.93,403.93,218.68
Pennsylvania,PA,42,2020,3.71,551.50,208.26,174.51
Rhode Island,RI,44,2020,5.01,819.44,217.13,195.63
South Carolina,SC,45,2020,3.65,494.74,225.94,161.51
South Dakota,SD,46,2020,3.39,557.17,286.63,184.18
Tennessee,TN,47,2020,4.73,524.41,246.93,173.95
Texas,TX,48,2020,3.34,542.79,272.01,201.41
Utah,UT,49,2020,5.89,832.60,395.04,206.70
Vermont,VT,50,2020,3.94,616.65,210.07,181.09
Virginia,VA,51,2020,3.61,645.20,236.06,191.56
Washington,WA,53,2020,5.52,1172.13,356.23,231.66
West Virginia,WV,54,2020,2.83,329.57,202.03,143.42
Wisconsin,WI,55,2020,2.91,520.40,246.38,152.47
Wyoming,WY,56,2020,4.08,626.98,350.64,209.18