state,lot,home,yard
Vermont,75794,1815,73979
Montana,73616,2040,71576
Mississippi,56628,1879,54749
New Hampshire,48787,1768,47019
Maine,44431,1663,42768
Louisiana,43560,1786,41774
West Virginia,40551,1714,38797
Arkansas,32234,1792,30442
Wisconsin,30000,1669,28331
Tennessee,27443,1848,25595
Alaska,26572,1789,24783
Georgia,26572,1963,24609
Alabama,26136,1800,24336
Hawaii,21778,1308,20470
Michigan,21780,1530,20250
Connecticut,21780,1804,19976
Wyoming,21780,2052,19728
Kentucky,21334,1750,19594
North Carolina,20038,1800,18238
Nebraska,19107,1714,17393
South Carolina,19166,1846,17320
Virginia,18731,1896,16835
Massachusetts,16553,1744,14809
Minnesota,14375,1828,12547
New Mexico,14375,1838,12574
Illinois,13939,1632,12307
Indiana,13504,1742,11762
New York,13068,1764,11304
Idaho,13068,1932,11136
Missouri,12636,1650,10986
Kansas,12632,1782,10850
Pennsylvania,12197,1700,10497
Oklahoma,12197,1746,10451
Ohio,12023,1620,10403
South Dakota,12066,1984,10082
Washington,11761,1903,9858
North Dakota,11250,1788,9462
Iowa,10800,1550,9250
Delaware,10890,1800,9090
Rhode Island,10441,1688,8753
Florida,10026,1694,8332
New Jersey,10019,1740,8279
Oregon,10019,1780,8239
Maryland,10047,1920,8127
Colorado,10202,2126,8076
Utah,10019,2305,7714
Texas,9583,2031,7552
Arizona,8276,1763,6513
California,7200,1625,5575
Nevada,6089,1712,4386